Products{id=2164, item_id=90443135, name='RÅSKOG', category='Room dividers', price=189.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/raskog-trolley-grey-green-90443135/', other_colors='Yes', short_description='"        Trolley,          35x45x78 cm"', designer='Nike Karlsson', depth=0.0, height=78.0, width=45.0}
Products{id=2165, item_id=70301537, name='KALLAX', category='Room dividers', price=725.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/kallax-shelving-unit-white-70301537/', other_colors='Yes', short_description='"        Shelving unit,          182x182 cm"', designer='IKEA of Sweden', depth=39.0, height=182.0, width=182.0}
Products{id=2166, item_id=79166399, name='VIDGA', category='Room dividers', price=220.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/vidga-room-divider-for-corner-white-s79166399/', other_colors='No', short_description='        Room divider for corner', designer='David Wahl', depth=0.0, height=0.0, width=0.0}
Products{id=2167, item_id=30275861, name='KALLAX', category='Room dividers', price=495.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/kallax-shelving-unit-white-30275861/', other_colors='Yes', short_description='"        Shelving unit,          147x147 cm"', designer='Tord Björklund', depth=39.0, height=147.0, width=147.0}
Products{id=2168, item_id=9157261, name='ELVARLI', category='Room dividers', price=440.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/elvarli-1-section-white-s09157261/', other_colors='No', short_description='"        1 section,          52x36x222-350 cm"', designer='Ehlén Johansson', depth=35.0, height=0.0, width=51.0}
Products{id=2169, item_id=99188003, name='ELVARLI', category='Room dividers', price=2377.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/elvarli-4-sections-white-bamboo-s99188003/', other_colors='No', short_description='"        4 sections,          262x36x222-350 cm"', designer='Ehlén Johansson', depth=35.0, height=0.0, width=261.0}
Products{id=2170, item_id=69017475, name='KALLAX', category='Room dividers', price=895.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/kallax-shelving-unit-with-8-inserts-white-s69017475/', other_colors='Yes', short_description='"        Shelving unit with 8 inserts,          147x147 cm"', designer='Tord Björklund', depth=39.0, height=147.0, width=147.0}
Products{id=2171, item_id=19278328, name='KALLAX', category='Room dividers', price=745.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/kallax-shelving-unit-with-4-inserts-white-s19278328/', other_colors='Yes', short_description='"        Shelving unit with 4 inserts,          147x147 cm"', designer='Tord Björklund', depth=39.0, height=147.0, width=147.0}
Products{id=2172, item_id=59315159, name='ELVARLI', category='Room dividers', price=2397.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/elvarli-3-sections-s59315159/', other_colors='No', short_description='"        3 sections,          258x51x222-350 cm"', designer='Ehlén Johansson', depth=51.0, height=0.0, width=258.0}
Products{id=2173, item_id=70268811, name='BEKANT', category='Room dividers', price=357.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/bekant-screen-for-desk-grey-70268811/', other_colors='Yes', short_description='"        Screen for desk,          120 cm"', designer='K Malmvall/E Lilja Löwenhielm', depth=0.0, height=120.0, width=83.0}
Products{id=2174, item_id=9278338, name='KALLAX', category='Room dividers', price=1350.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/kallax-shelving-unit-with-10-inserts-white-s09278338/', other_colors='Yes', short_description='"        Shelving unit with 10 inserts,          182x182 cm"', designer='Tord Björklund/IKEA of Sweden', depth=39.0, height=182.0, width=182.0}
Products{id=2175, item_id=69157376, name='ELVARLI', category='Room dividers', price=1231.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/elvarli-2-sections-white-s69157376/', other_colors='No', short_description='"        2 sections,          175x51x222-350 cm"', designer='Ehlén Johansson', depth=50.0, height=0.0, width=175.0}
Products{id=2176, item_id=9017483, name='KALLAX', category='Room dividers', price=695.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/kallax-shelving-unit-with-4-inserts-black-brown-s09017483/', other_colors='Yes', short_description='"        Shelving unit with 4 inserts,          147x147 cm"', designer='Tord Björklund', depth=39.0, height=147.0, width=147.0}